mode,script,time_sec
bash,beginner-01.sh,34.933
bash,beginner-02.sh,37.318
bash,beginner-03.sh,36.583
bash,beginner-04.sh,36.826
bash,beginner-05.sh,36.673
bash,beginner-06.sh,36.628
bash,beginner-07.sh,36.333
bash,beginner-08.sh,36.543
bash,beginner-09.sh,36.722
bash,beginner-10.sh,41.034
bash,beginner-11.sh,43.703
bash,beginner-12.sh,42.556
bash,beginner-13.sh,41.978
bash,beginner-14.sh,43.244
incr,beginner-01.sh,34.596
incr,beginner-02.sh,37.013
incr,beginner-03.sh,4.937
incr,beginner-04.sh,2.724
incr,beginner-05.sh,2.938
incr,beginner-06.sh,3.047
incr,beginner-07.sh,2.94
incr,beginner-08.sh,3.117
incr,beginner-09.sh,3.033
incr,beginner-10.sh,4.929
incr,beginner-11.sh,4.507
incr,beginner-12.sh,4.288
incr,beginner-13.sh,2.753
incr,beginner-14.sh,3.107
