mode,script,time_sec
bash,nginx-1.sh,1.684
bash,nginx-2.sh,1.729
bash,nginx-3.sh,7.189
bash,nginx-4.sh,6.719
bash,nginx-5.sh,6.887
bash,nginx-6.sh,8.789
bash,nginx-7.sh,10.188
bash,nginx-8.sh,11.908
bash,nginx-9.sh,13.39
bash,nginx-10.sh,14.314
bash,nginx-11.sh,13.707
bash,nginx-12.sh,20.06
bash,nginx-13.sh,20.299
bash,nginx-14.sh,20.111
bash,nginx-15.sh,23.834
bash,nginx-16.sh,22.99
bash,nginx-17.sh,25.249
bash,nginx-18.sh,41.518
bash,nginx-19.sh,42.339
bash,nginx-20.sh,49.12
bash,nginx-21.sh,46.645
bash,nginx-22.sh,53.1
incr,nginx-1.sh,6.368
incr,nginx-2.sh,3.052
incr,nginx-3.sh,3.395
incr,nginx-4.sh,2.59
incr,nginx-5.sh,3.246
incr,nginx-6.sh,2.732
incr,nginx-7.sh,0.54
incr,nginx-8.sh,1.634
incr,nginx-9.sh,2.784
incr,nginx-10.sh,0.321
incr,nginx-11.sh,0.443
incr,nginx-12.sh,9.794
incr,nginx-13.sh,0.305
incr,nginx-14.sh,0.349
incr,nginx-15.sh,1.943
incr,nginx-16.sh,0.546
incr,nginx-17.sh,10.614
incr,nginx-18.sh,9.125
incr,nginx-19.sh,0.995
incr,nginx-20.sh,10.406
incr,nginx-21.sh,1
incr,nginx-22.sh,1.364
