mode,script,time_sec
bash,beginner-01.sh,35.26
bash,beginner-02.sh,37.261
bash,beginner-03.sh,36.513
bash,beginner-04.sh,36.582
bash,beginner-05.sh,36.675
bash,beginner-06.sh,36.894
bash,beginner-07.sh,37.064
bash,beginner-08.sh,36.57
bash,beginner-09.sh,36.552
bash,beginner-10.sh,40.66
bash,beginner-11.sh,42.565
bash,beginner-12.sh,43.054
bash,beginner-13.sh,42.518
bash,beginner-14.sh,42.613
incr,beginner-01.sh,34.231
incr,beginner-02.sh,36.628
incr,beginner-03.sh,5.027
incr,beginner-04.sh,2.792
incr,beginner-05.sh,2.657
incr,beginner-06.sh,2.782
incr,beginner-07.sh,2.929
incr,beginner-08.sh,3.026
incr,beginner-09.sh,2.88
incr,beginner-10.sh,4.868
incr,beginner-11.sh,4.446
incr,beginner-12.sh,4.462
incr,beginner-13.sh,2.697
incr,beginner-14.sh,2.801
