mode,script,time_sec
bash,nginx-1.sh,1.803
bash,nginx-2.sh,1.615
bash,nginx-3.sh,6.836
bash,nginx-4.sh,7.147
bash,nginx-5.sh,8.098
bash,nginx-6.sh,10.144
bash,nginx-7.sh,9.668
bash,nginx-8.sh,12.302
bash,nginx-9.sh,14.467
bash,nginx-10.sh,12.541
bash,nginx-11.sh,14.166
bash,nginx-12.sh,18.632
bash,nginx-13.sh,20.51
bash,nginx-14.sh,20.636
bash,nginx-15.sh,22.553
bash,nginx-16.sh,22.04
bash,nginx-17.sh,26.286
bash,nginx-18.sh,40.448
bash,nginx-19.sh,43.05
bash,nginx-20.sh,49.639
bash,nginx-21.sh,49.42
bash,nginx-22.sh,52.029
incr,nginx-1.sh,6.39
incr,nginx-2.sh,2.579
incr,nginx-3.sh,3.164
incr,nginx-4.sh,2.691
incr,nginx-5.sh,3.084
incr,nginx-6.sh,2.508
incr,nginx-7.sh,0.548
incr,nginx-8.sh,1.626
incr,nginx-9.sh,2.468
incr,nginx-10.sh,0.273
incr,nginx-11.sh,0.299
incr,nginx-12.sh,9.773
incr,nginx-13.sh,0.314
incr,nginx-14.sh,0.345
incr,nginx-15.sh,1.927
incr,nginx-16.sh,0.513
incr,nginx-17.sh,10.554
incr,nginx-18.sh,9.483
incr,nginx-19.sh,1.055
incr,nginx-20.sh,10.349
incr,nginx-21.sh,0.899
incr,nginx-22.sh,1.289
