mode,script,time_sec
bash,beginner-01.sh,35.603
bash,beginner-02.sh,38.668
bash,beginner-03.sh,36.474
bash,beginner-04.sh,36.988
bash,beginner-05.sh,37.217
bash,beginner-06.sh,36.812
bash,beginner-07.sh,36.708
bash,beginner-08.sh,36.95
bash,beginner-09.sh,37.078
bash,beginner-10.sh,41.004
bash,beginner-11.sh,43.88
bash,beginner-12.sh,42.974
bash,beginner-13.sh,42.465
bash,beginner-14.sh,42.519
incr,beginner-01.sh,41.402
incr,beginner-02.sh,42.825
incr,beginner-03.sh,8.956
incr,beginner-04.sh,4.299
incr,beginner-05.sh,4.092
incr,beginner-06.sh,4.712
incr,beginner-07.sh,4.476
incr,beginner-08.sh,5.35
incr,beginner-09.sh,5.055
incr,beginner-10.sh,7.4
incr,beginner-11.sh,5.807
incr,beginner-12.sh,6.533
incr,beginner-13.sh,4.913
incr,beginner-14.sh,4.479
