mode,script,time_sec
bash,nginx-1.sh,1.725
bash,nginx-2.sh,2.192
bash,nginx-3.sh,7.031
bash,nginx-4.sh,7.038
bash,nginx-5.sh,9.034
bash,nginx-6.sh,10.383
bash,nginx-7.sh,9.85
bash,nginx-8.sh,12.935
bash,nginx-9.sh,14.259
bash,nginx-10.sh,14.66
bash,nginx-11.sh,14.076
bash,nginx-12.sh,20.147
bash,nginx-13.sh,20.693
bash,nginx-14.sh,21.334
bash,nginx-15.sh,23.914
bash,nginx-16.sh,24.521
bash,nginx-17.sh,27.499
bash,nginx-18.sh,42.616
bash,nginx-19.sh,42.133
bash,nginx-20.sh,49.546
bash,nginx-21.sh,48.643
bash,nginx-22.sh,52.194
incr,nginx-1.sh,10.74
incr,nginx-2.sh,5.079
incr,nginx-3.sh,7.835
incr,nginx-4.sh,4.883
incr,nginx-5.sh,5.539
incr,nginx-6.sh,2.052
incr,nginx-7.sh,0.566
incr,nginx-8.sh,1.876
incr,nginx-9.sh,2.297
incr,nginx-10.sh,0.294
incr,nginx-11.sh,0.856
incr,nginx-12.sh,6.685
incr,nginx-13.sh,0.303
incr,nginx-14.sh,0.424
incr,nginx-15.sh,1.386
incr,nginx-16.sh,0.592
incr,nginx-17.sh,7.575
incr,nginx-18.sh,11.987
incr,nginx-19.sh,0.97
incr,nginx-20.sh,7.407
incr,nginx-21.sh,1.215
incr,nginx-22.sh,1.425
