mode,script,time_sec
bash,beginner-01.sh,35.968
bash,beginner-02.sh,37.66
bash,beginner-03.sh,36.591
bash,beginner-04.sh,36.628
bash,beginner-05.sh,36.627
bash,beginner-06.sh,36.675
bash,beginner-07.sh,36.452
bash,beginner-08.sh,36.789
bash,beginner-09.sh,36.6
bash,beginner-10.sh,40.613
bash,beginner-11.sh,42.971
bash,beginner-12.sh,43.725
bash,beginner-13.sh,43.405
bash,beginner-14.sh,42.229
incr,beginner-01.sh,38.533
incr,beginner-02.sh,42.839
incr,beginner-03.sh,5.449
incr,beginner-04.sh,2.73
incr,beginner-05.sh,2.614
incr,beginner-06.sh,2.74
incr,beginner-07.sh,2.665
incr,beginner-08.sh,2.921
incr,beginner-09.sh,3.741
incr,beginner-10.sh,5.347
incr,beginner-11.sh,5.077
incr,beginner-12.sh,5.056
incr,beginner-13.sh,3.244
incr,beginner-14.sh,2.907
