mode,script,time_sec
bash,nginx-1.sh,1.647
bash,nginx-2.sh,1.597
bash,nginx-3.sh,6.744
bash,nginx-4.sh,6.991
bash,nginx-5.sh,8.2
bash,nginx-6.sh,10.097
bash,nginx-7.sh,10.745
bash,nginx-8.sh,12.44
bash,nginx-9.sh,12.52
bash,nginx-10.sh,14.041
bash,nginx-11.sh,14.089
bash,nginx-12.sh,20.72
bash,nginx-13.sh,19.673
bash,nginx-14.sh,20.792
bash,nginx-15.sh,23.516
bash,nginx-16.sh,23.497
bash,nginx-17.sh,26.959
bash,nginx-18.sh,40.423
bash,nginx-19.sh,42.395
bash,nginx-20.sh,49.612
bash,nginx-21.sh,48.583
bash,nginx-22.sh,52.278
incr,nginx-1.sh,8.473
incr,nginx-2.sh,4
incr,nginx-3.sh,5.534
incr,nginx-4.sh,4.387
incr,nginx-5.sh,3.41
incr,nginx-6.sh,2.244
incr,nginx-7.sh,0.429
incr,nginx-8.sh,1.787
incr,nginx-9.sh,2.299
incr,nginx-10.sh,0.456
incr,nginx-11.sh,0.926
incr,nginx-12.sh,6.831
incr,nginx-13.sh,0.424
incr,nginx-14.sh,0.395
incr,nginx-15.sh,1.646
incr,nginx-16.sh,0.658
incr,nginx-17.sh,7.395
incr,nginx-18.sh,10.302
incr,nginx-19.sh,1.372
incr,nginx-20.sh,7.271
incr,nginx-21.sh,1.349
incr,nginx-22.sh,1.737
