mode,script,time_sec
bash,beginner-01.sh,35.376
bash,beginner-02.sh,37.595
bash,beginner-03.sh,36.725
bash,beginner-04.sh,36.513
bash,beginner-05.sh,36.541
bash,beginner-06.sh,36.53
bash,beginner-07.sh,36.593
bash,beginner-08.sh,36.618
bash,beginner-09.sh,36.901
bash,beginner-10.sh,40.301
bash,beginner-11.sh,42.889
bash,beginner-12.sh,43.033
bash,beginner-13.sh,42.953
bash,beginner-14.sh,42.742
incr,beginner-01.sh,37.814
incr,beginner-02.sh,42.036
incr,beginner-03.sh,5.439
incr,beginner-04.sh,3.03
incr,beginner-05.sh,2.799
incr,beginner-06.sh,3.581
incr,beginner-07.sh,2.78
incr,beginner-08.sh,3.077
incr,beginner-09.sh,3.22
incr,beginner-10.sh,5.626
incr,beginner-11.sh,4.728
incr,beginner-12.sh,4.51
incr,beginner-13.sh,2.947
incr,beginner-14.sh,2.889
