mode,script,time_sec
bash,nginx-1.sh,1.82
bash,nginx-2.sh,1.744
bash,nginx-3.sh,6.529
bash,nginx-4.sh,7.006
bash,nginx-5.sh,8.548
bash,nginx-6.sh,10.168
bash,nginx-7.sh,10.415
bash,nginx-8.sh,12.651
bash,nginx-9.sh,14.443
bash,nginx-10.sh,12.995
bash,nginx-11.sh,14.338
bash,nginx-12.sh,19.108
bash,nginx-13.sh,21.093
bash,nginx-14.sh,20.515
bash,nginx-15.sh,23.542
bash,nginx-16.sh,24.214
bash,nginx-17.sh,27.06
bash,nginx-18.sh,42.859
bash,nginx-19.sh,42.699
bash,nginx-20.sh,48.233
bash,nginx-21.sh,49.225
bash,nginx-22.sh,52.32
incr,nginx-1.sh,6.868
incr,nginx-2.sh,5.071
incr,nginx-3.sh,5.233
incr,nginx-4.sh,3.687
incr,nginx-5.sh,3.438
incr,nginx-6.sh,2.082
incr,nginx-7.sh,0.439
incr,nginx-8.sh,1.848
incr,nginx-9.sh,2.348
incr,nginx-10.sh,0.337
incr,nginx-11.sh,0.786
incr,nginx-12.sh,6.821
incr,nginx-13.sh,0.269
incr,nginx-14.sh,0.311
incr,nginx-15.sh,1.5
incr,nginx-16.sh,0.49
incr,nginx-17.sh,7.348
incr,nginx-18.sh,10.115
incr,nginx-19.sh,0.917
incr,nginx-20.sh,7.058
incr,nginx-21.sh,0.917
incr,nginx-22.sh,1.48
