mode,script,time_sec
bash,beginner-01.sh,34.754
bash,beginner-02.sh,37.573
bash,beginner-03.sh,36.936
bash,beginner-04.sh,36.704
bash,beginner-05.sh,36.48
bash,beginner-06.sh,36.619
bash,beginner-07.sh,36.83
bash,beginner-08.sh,36.536
bash,beginner-09.sh,36.804
bash,beginner-10.sh,40.659
bash,beginner-11.sh,42.613
bash,beginner-12.sh,43.381
bash,beginner-13.sh,42.692
bash,beginner-14.sh,42.511
incr,beginner-01.sh,38.846
incr,beginner-02.sh,41.768
incr,beginner-03.sh,5.788
incr,beginner-04.sh,2.928
incr,beginner-05.sh,2.846
incr,beginner-06.sh,3.498
incr,beginner-07.sh,2.976
incr,beginner-08.sh,3.347
incr,beginner-09.sh,3.537
incr,beginner-10.sh,5.703
incr,beginner-11.sh,5.81
incr,beginner-12.sh,5.391
incr,beginner-13.sh,3.784
incr,beginner-14.sh,3.931
