mode,script,time_sec
bash,nginx-1.sh,2.746
bash,nginx-2.sh,1.935
bash,nginx-3.sh,5.9
bash,nginx-4.sh,7.1
bash,nginx-5.sh,7.745
bash,nginx-6.sh,10.039
bash,nginx-7.sh,9.655
bash,nginx-8.sh,12.716
bash,nginx-9.sh,13.514
bash,nginx-10.sh,13.877
bash,nginx-11.sh,14.269
bash,nginx-12.sh,19.918
bash,nginx-13.sh,19.982
bash,nginx-14.sh,20.485
bash,nginx-15.sh,23.556
bash,nginx-16.sh,22.635
bash,nginx-17.sh,27.504
bash,nginx-18.sh,42.052
bash,nginx-19.sh,43.367
bash,nginx-20.sh,48.316
bash,nginx-21.sh,47.758
bash,nginx-22.sh,51.888
incr,nginx-1.sh,6.659
incr,nginx-2.sh,3.884
incr,nginx-3.sh,5.036
incr,nginx-4.sh,4.379
incr,nginx-5.sh,4.289
incr,nginx-6.sh,2.37
incr,nginx-7.sh,0.497
incr,nginx-8.sh,2.705
incr,nginx-9.sh,2.465
incr,nginx-10.sh,0.502
incr,nginx-11.sh,1.453
incr,nginx-12.sh,7.002
incr,nginx-13.sh,0.447
incr,nginx-14.sh,1.409
incr,nginx-15.sh,2.179
incr,nginx-16.sh,0.823
incr,nginx-17.sh,7.723
incr,nginx-18.sh,11.28
incr,nginx-19.sh,1.653
incr,nginx-20.sh,8.231
incr,nginx-21.sh,3.008
incr,nginx-22.sh,4.234
