mode,script,time_sec
bash,dpt_1.sh,317.292
bash,dpt_2.sh,319.194
bash,dpt_3a.sh,318.741
bash,dpt_3b.sh,320.365
bash,dpt_4.sh,647.208
bash,dpt_5a.sh,649.05
bash,dpt_5b.sh,643.179
bash,dpt_5c.sh,641.573
bash,dpt_5d.sh,645.184
bash,dpt_5e.sh,644.13
incr,dpt_1.sh,410.318
incr,dpt_2.sh,413.562
incr,dpt_3a.sh,1.693
incr,dpt_3b.sh,1.652
incr,dpt_4.sh,394.361
incr,dpt_5a.sh,6.768
incr,dpt_5b.sh,5.548
incr,dpt_5c.sh,4.692
incr,dpt_5d.sh,4.837
incr,dpt_5e.sh,4.932
incr-observe,dpt_1.sh,368.603
incr-observe,dpt_2.sh,366.541
incr-observe,dpt_3a.sh,1.657
incr-observe,dpt_3b.sh,1.803
incr-observe,dpt_4.sh,373.001
incr-observe,dpt_5a.sh,2.532
incr-observe,dpt_5b.sh,2.505
incr-observe,dpt_5c.sh,3.983
incr-observe,dpt_5d.sh,3.921
incr-observe,dpt_5e.sh,3.913
