mode,script,time_sec
bash,file-mod-1.sh,3.335
bash,file-mod-2.sh,3.511
bash,file-mod-3.sh,3.436
bash,file-mod-4.sh,3.839
bash,file-mod-5.sh,3.908
bash,file-mod-6.sh,10.918
bash,file-mod-7.sh,13.099
incr,file-mod-1.sh,18.403
incr,file-mod-2.sh,15.421
incr,file-mod-3.sh,5.008
incr,file-mod-4.sh,3.991
incr,file-mod-5.sh,2.636
incr,file-mod-6.sh,22.73
incr,file-mod-7.sh,8.56
incr-observe,file-mod-1.sh,5.447
incr-observe,file-mod-2.sh,3.575
incr-observe,file-mod-3.sh,2.058
incr-observe,file-mod-4.sh,2.035
incr-observe,file-mod-5.sh,1.773
incr-observe,file-mod-6.sh,10.294
incr-observe,file-mod-7.sh,8.047
