mode,script,time_sec
bash,image-annotation-1.sh,98.878
bash,image-annotation-2.sh,101.462
bash,image-annotation-3.sh,101.576
bash,image-annotation-4.sh,103.47
bash,image-annotation-5.sh,100.672
bash,image-annotation-6.sh,99.802
bash,image-annotation-7.sh,100.068
incr,image-annotation-1.sh,328.924
incr,image-annotation-2.sh,1.45
incr,image-annotation-3.sh,1.522
incr,image-annotation-4.sh,1.502
incr,image-annotation-5.sh,1.454
incr,image-annotation-6.sh,1.474
incr,image-annotation-7.sh,1.457
incr-observe,image-annotation-1.sh,267.416
incr-observe,image-annotation-2.sh,0.943
incr-observe,image-annotation-3.sh,0.942
incr-observe,image-annotation-4.sh,1.049
incr-observe,image-annotation-5.sh,1.158
incr-observe,image-annotation-6.sh,1.212
incr-observe,image-annotation-7.sh,1.043
