mode,script,time_sec
bash,beginner-01.sh,34.813
bash,beginner-02.sh,36.361
bash,beginner-03.sh,35.634
bash,beginner-04.sh,35.242
bash,beginner-05.sh,35.607
bash,beginner-06.sh,35.536
bash,beginner-07.sh,35.747
bash,beginner-08.sh,35.463
bash,beginner-09.sh,35.475
bash,beginner-10.sh,39.745
bash,beginner-11.sh,41.752
bash,beginner-12.sh,41.823
bash,beginner-13.sh,42.083
bash,beginner-14.sh,41.165
incr,beginner-01.sh,37.624
incr,beginner-02.sh,39.22
incr,beginner-03.sh,5.887
incr,beginner-04.sh,3.01
incr,beginner-05.sh,3.445
incr,beginner-06.sh,3.225
incr,beginner-07.sh,3.147
incr,beginner-08.sh,3.225
incr,beginner-09.sh,3.696
incr,beginner-10.sh,5.163
incr,beginner-11.sh,4.608
incr,beginner-12.sh,5.025
incr,beginner-13.sh,3.152
incr,beginner-14.sh,3.451
