mode,script,time_sec
bash,beginner-01.sh,34.761
bash,beginner-02.sh,37.06
bash,beginner-03.sh,35.731
bash,beginner-04.sh,35.415
bash,beginner-05.sh,35.622
bash,beginner-06.sh,35.786
bash,beginner-07.sh,35.437
bash,beginner-08.sh,35.448
bash,beginner-09.sh,35.441
bash,beginner-10.sh,39.046
bash,beginner-11.sh,41.102
bash,beginner-12.sh,40.805
bash,beginner-13.sh,40.894
bash,beginner-14.sh,41.184
incr,beginner-01.sh,36.985
incr,beginner-02.sh,38.006
incr,beginner-03.sh,5.494
incr,beginner-04.sh,3.195
incr,beginner-05.sh,3.255
incr,beginner-06.sh,3.302
incr,beginner-07.sh,3.119
incr,beginner-08.sh,3.468
incr,beginner-09.sh,3.313
incr,beginner-10.sh,5.548
incr,beginner-11.sh,4.521
incr,beginner-12.sh,5.277
incr,beginner-13.sh,2.982
incr,beginner-14.sh,3.174
