mode,script,time_sec
bash,nginx-1.sh,0.003
bash,nginx-2.sh,0.004
bash,nginx-3.sh,0.003
bash,nginx-4.sh,0.004
bash,nginx-5.sh,0.003
bash,nginx-6.sh,0.004
bash,nginx-7.sh,0.003
bash,nginx-8.sh,0.004
bash,nginx-9.sh,0.004
bash,nginx-10.sh,14.181
bash,nginx-11.sh,13.234
bash,nginx-12.sh,20.621
bash,nginx-13.sh,20.174
bash,nginx-14.sh,20.44
bash,nginx-15.sh,23.472
bash,nginx-16.sh,23.483
bash,nginx-17.sh,26.708
bash,nginx-18.sh,42.657
bash,nginx-19.sh,42.659
bash,nginx-20.sh,49.221
bash,nginx-21.sh,49.248
bash,nginx-22.sh,52.789
incr,nginx-1.sh,0.082
incr,nginx-2.sh,0.088
incr,nginx-3.sh,0.091
incr,nginx-4.sh,0.103
incr,nginx-5.sh,0.159
incr,nginx-6.sh,0.176
incr,nginx-7.sh,0.09
incr,nginx-8.sh,0.109
incr,nginx-9.sh,0.125
incr,nginx-10.sh,12.166
incr,nginx-11.sh,0.889
incr,nginx-12.sh,10.235
incr,nginx-13.sh,0.759
incr,nginx-14.sh,0.395
incr,nginx-15.sh,2.522
incr,nginx-16.sh,0.609
incr,nginx-17.sh,11.442
incr,nginx-18.sh,10.748
incr,nginx-19.sh,1.081
incr,nginx-20.sh,10.773
incr,nginx-21.sh,0.894
incr,nginx-22.sh,1.378
