mode,script,time_sec
bash,nginx-1.sh,0.003
bash,nginx-2.sh,0.005
bash,nginx-3.sh,0.005
bash,nginx-4.sh,0.005
bash,nginx-5.sh,0.005
bash,nginx-6.sh,0.005
bash,nginx-7.sh,0.003
bash,nginx-8.sh,0.005
bash,nginx-9.sh,0.005
bash,nginx-10.sh,12.875
bash,nginx-11.sh,12.922
bash,nginx-12.sh,19.058
bash,nginx-13.sh,19.837
bash,nginx-14.sh,19.807
bash,nginx-15.sh,23.027
bash,nginx-16.sh,22.121
bash,nginx-17.sh,26.97
bash,nginx-18.sh,40.511
bash,nginx-19.sh,41.206
bash,nginx-20.sh,47.549
bash,nginx-21.sh,48.174
bash,nginx-22.sh,51.106
incr,nginx-1.sh,1.273
incr,nginx-2.sh,1.318
incr,nginx-3.sh,1.484
incr,nginx-4.sh,1.34
incr,nginx-5.sh,1.377
incr,nginx-6.sh,1.368
incr,nginx-7.sh,1.382
incr,nginx-8.sh,1.312
incr,nginx-9.sh,1.368
incr,nginx-10.sh,9.701
incr,nginx-11.sh,0.669
incr,nginx-12.sh,7.437
incr,nginx-13.sh,0.651
incr,nginx-14.sh,0.352
incr,nginx-15.sh,1.615
incr,nginx-16.sh,0.448
incr,nginx-17.sh,8.349
incr,nginx-18.sh,9.281
incr,nginx-19.sh,0.805
incr,nginx-20.sh,8.107
incr,nginx-21.sh,0.956
incr,nginx-22.sh,1.162
