mode,script,time_sec
incr,nginx-1.sh,6.966
incr,nginx-2.sh,2.126
incr,nginx-3.sh,2.385
incr,nginx-4.sh,2.1
incr,nginx-5.sh,1.867
incr,nginx-6.sh,1.598
incr,nginx-7.sh,0.315
incr,nginx-8.sh,0.947
incr,nginx-9.sh,1.59
incr,nginx-10.sh,0.182
incr,nginx-11.sh,0.179
incr,nginx-12.sh,4.883
incr,nginx-13.sh,0.189
incr,nginx-14.sh,0.182
incr,nginx-15.sh,0.945
incr,nginx-16.sh,0.278
incr,nginx-17.sh,4.891
incr,nginx-18.sh,6.503
incr,nginx-19.sh,0.468
incr,nginx-20.sh,5.092
incr,nginx-21.sh,0.474
incr,nginx-22.sh,0.665
