mode,script,time_sec
bash,beginner-01.sh,0.011
incr,beginner-01.sh,0.191
incr-observe,beginner-01.sh,0.151
bash,beginner-02.sh,0.01
incr,beginner-02.sh,0.132
incr-observe,beginner-02.sh,0.134
bash,beginner-03.sh,0.015
incr,beginner-03.sh,0.178
incr-observe,beginner-03.sh,0.14
bash,beginner-04.sh,0.014
incr,beginner-04.sh,0.154
incr-observe,beginner-04.sh,0.127
bash,beginner-05.sh,0.009
incr,beginner-05.sh,0.137
incr-observe,beginner-05.sh,0.141
bash,beginner-06.sh,0.01
incr,beginner-06.sh,0.564
incr-observe,beginner-06.sh,0.187
bash,beginner-07.sh,0.016
incr,beginner-07.sh,0.164
incr-observe,beginner-07.sh,0.126
bash,beginner-08.sh,0.018
incr,beginner-08.sh,0.206
incr-observe,beginner-08.sh,0.197
bash,beginner-09.sh,0.008
incr,beginner-09.sh,0.144
incr-observe,beginner-09.sh,0.165
bash,beginner-10.sh,0.011
incr,beginner-10.sh,0.207
incr-observe,beginner-10.sh,0.126
bash,beginner-11.sh,0.013
incr,beginner-11.sh,0.192
incr-observe,beginner-11.sh,0.204
bash,beginner-12.sh,0.009
incr,beginner-12.sh,0.2
incr-observe,beginner-12.sh,0.184
bash,beginner-13.sh,0.02
incr,beginner-13.sh,0.231
incr-observe,beginner-13.sh,0.189
bash,beginner-14.sh,0.021
incr,beginner-14.sh,0.15
incr-observe,beginner-14.sh,0.26
