mode,script,time_sec
bash,bio-1.sh,0.017
incr,bio-1.sh,1.348
incr-observe,bio-1.sh,0.184
bash,bio-2.sh,0.147
incr,bio-2.sh,1.554
incr-observe,bio-2.sh,0.312
bash,bio-3.sh,0.607
incr,bio-3.sh,11.692
incr-observe,bio-3.sh,1.695
bash,bio-4-0.sh,0.881
incr,bio-4-0.sh,10.128
incr-observe,bio-4-0.sh,1.362
bash,bio-4.sh,0.399
incr,bio-4.sh,2.135
incr-observe,bio-4.sh,1.136
bash,bio-5.sh,0.621
incr,bio-5.sh,2.35
incr-observe,bio-5.sh,1.278
bash,bio-6.sh,0.675
incr,bio-6.sh,2.669
incr-observe,bio-6.sh,1.372
