mode,script,time_sec
bash,dpt_1.sh,57.514
incr,dpt_1.sh,79.019
incr-observe,dpt_1.sh,68.019
bash,dpt_2.sh,58.592
incr,dpt_2.sh,79.113
incr-observe,dpt_2.sh,67.563
bash,dpt_3a.sh,59.828
incr,dpt_3a.sh,19.812
incr-observe,dpt_3a.sh,15.881
bash,dpt_3b.sh,57.95
incr,dpt_3b.sh,19.596
incr-observe,dpt_3b.sh,16.051
bash,dpt_4.sh,58.522
incr,dpt_4.sh,19.309
incr-observe,dpt_4.sh,15.971
bash,dpt_5a.sh,59.306
incr,dpt_5a.sh,20.236
incr-observe,dpt_5a.sh,16.266
bash,dpt_5b.sh,60.153
incr,dpt_5b.sh,20.068
incr-observe,dpt_5b.sh,15.552
bash,dpt_5c.sh,60.111
incr,dpt_5c.sh,21.865
incr-observe,dpt_5c.sh,16.485
bash,dpt_5d.sh,60.4
incr,dpt_5d.sh,22.226
incr-observe,dpt_5d.sh,17.053
bash,dpt_5e.sh,60.823
incr,dpt_5e.sh,22.16
incr-observe,dpt_5e.sh,16.744
