mode,script,time_sec
bash,file-mod-1.sh,0.264
incr,file-mod-1.sh,2.054
incr-observe,file-mod-1.sh,0.618
bash,file-mod-2.sh,0.246
incr,file-mod-2.sh,1.923
incr-observe,file-mod-2.sh,0.483
bash,file-mod-3.sh,0.247
incr,file-mod-3.sh,1.357
incr-observe,file-mod-3.sh,0.256
bash,file-mod-4.sh,0.469
incr,file-mod-4.sh,0.863
incr-observe,file-mod-4.sh,0.362
bash,file-mod-5.sh,0.373
incr,file-mod-5.sh,0.368
incr-observe,file-mod-5.sh,0.334
bash,file-mod-6.sh,0.349
incr,file-mod-6.sh,2.478
incr-observe,file-mod-6.sh,0.354
bash,file-mod-7.sh,0.285
incr,file-mod-7.sh,0.834
incr-observe,file-mod-7.sh,0.346
