mode,script,time_sec
bash,nginx-1.sh,0.011
incr,nginx-1.sh,1.459
incr-observe,nginx-1.sh,0.217
bash,nginx-2.sh,0.008
incr,nginx-2.sh,0.309
incr-observe,nginx-2.sh,0.214
bash,nginx-3.sh,0.01
incr,nginx-3.sh,0.398
incr-observe,nginx-3.sh,0.293
bash,nginx-4.sh,0.015
incr,nginx-4.sh,0.296
incr-observe,nginx-4.sh,0.271
bash,nginx-5.sh,0.006
incr,nginx-5.sh,0.213
incr-observe,nginx-5.sh,0.132
bash,nginx-6.sh,0.009
incr,nginx-6.sh,0.18
incr-observe,nginx-6.sh,0.138
bash,nginx-7.sh,0.015
incr,nginx-7.sh,0.265
incr-observe,nginx-7.sh,0.164
bash,nginx-8.sh,0.009
incr,nginx-8.sh,0.211
incr-observe,nginx-8.sh,0.271
bash,nginx-9.sh,0.026
incr,nginx-9.sh,0.255
incr-observe,nginx-9.sh,0.148
bash,nginx-10.sh,0.026
incr,nginx-10.sh,0.164
incr-observe,nginx-10.sh,0.278
bash,nginx-11.sh,0.013
incr,nginx-11.sh,0.142
incr-observe,nginx-11.sh,0.168
bash,nginx-12.sh,0.015
incr,nginx-12.sh,0.156
incr-observe,nginx-12.sh,0.169
bash,nginx-13.sh,0.018
incr,nginx-13.sh,0.229
incr-observe,nginx-13.sh,0.186
bash,nginx-14.sh,0.037
incr,nginx-14.sh,0.19
incr-observe,nginx-14.sh,0.168
bash,nginx-15.sh,0.021
incr,nginx-15.sh,0.291
incr-observe,nginx-15.sh,0.165
bash,nginx-16.sh,0.043
incr,nginx-16.sh,0.255
incr-observe,nginx-16.sh,0.201
bash,nginx-17.sh,0.023
incr,nginx-17.sh,0.25
incr-observe,nginx-17.sh,0.243
bash,nginx-18.sh,0.051
incr,nginx-18.sh,0.214
incr-observe,nginx-18.sh,0.28
bash,nginx-19.sh,0.033
incr,nginx-19.sh,0.257
incr-observe,nginx-19.sh,0.2
bash,nginx-20.sh,0.068
incr,nginx-20.sh,0.328
incr-observe,nginx-20.sh,0.259
bash,nginx-21.sh,0.061
incr,nginx-21.sh,0.274
incr-observe,nginx-21.sh,0.251
bash,nginx-22.sh,0.068
incr,nginx-22.sh,0.261
incr-observe,nginx-22.sh,0.316
