mode,script,time_sec
bash,spell-1.sh,0.005
incr,spell-1.sh,0.271
incr-observe,spell-1.sh,0.136
bash,spell-2.sh,0.006
incr,spell-2.sh,0.542
incr-observe,spell-2.sh,0.169
bash,spell-3.sh,0.007
incr,spell-3.sh,0.123
incr-observe,spell-3.sh,0.139
bash,spell-4.sh,0.012
incr,spell-4.sh,0.146
incr-observe,spell-4.sh,0.154
bash,spell-5.sh,0.006
incr,spell-5.sh,0.135
incr-observe,spell-5.sh,0.169
bash,spell-6.sh,0.028
incr,spell-6.sh,0.252
incr-observe,spell-6.sh,0.15
bash,spell-7.sh,0.014
incr,spell-7.sh,0.222
incr-observe,spell-7.sh,0.181
