mode,script,time_sec
bash,nginx-1.sh,1.808
bash,nginx-2.sh,1.694
bash,nginx-3.sh,6.738
bash,nginx-4.sh,7.158
bash,nginx-5.sh,6.975
bash,nginx-6.sh,10.548
bash,nginx-7.sh,10.894
bash,nginx-8.sh,10.422
bash,nginx-9.sh,14.175
bash,nginx-10.sh,14.223
bash,nginx-11.sh,14.068
bash,nginx-12.sh,20.408
bash,nginx-13.sh,18.779
bash,nginx-14.sh,19.694
bash,nginx-15.sh,23.871
bash,nginx-16.sh,23.801
bash,nginx-17.sh,27.386
bash,nginx-18.sh,41.362
bash,nginx-19.sh,42.278
bash,nginx-20.sh,48.396
bash,nginx-21.sh,46.911
bash,nginx-22.sh,51.058
incr,nginx-1.sh,14.734
incr,nginx-2.sh,2.292
incr,nginx-3.sh,5.042
incr,nginx-4.sh,1.734
incr,nginx-5.sh,14.168
incr,nginx-6.sh,13.428
incr,nginx-7.sh,1.598
incr,nginx-8.sh,2.318
incr,nginx-9.sh,12.344
incr,nginx-10.sh,0.33
incr,nginx-11.sh,0.273
incr,nginx-12.sh,26.154
incr,nginx-13.sh,0.344
incr,nginx-14.sh,0.317
incr,nginx-15.sh,4.271
incr,nginx-16.sh,0.793
incr,nginx-17.sh,28.01
incr,nginx-18.sh,17.484
incr,nginx-19.sh,0.951
incr,nginx-20.sh,26.626
incr,nginx-21.sh,1.045
incr,nginx-22.sh,1.409
