mode,script,time_sec
incr,nginx-1.sh,3.637
incr,nginx-2.sh,5.235
incr,nginx-3.sh,5.509
incr,nginx-4.sh,4.065
incr,nginx-5.sh,1.868
incr,nginx-6.sh,1.575
incr,nginx-7.sh,0.268
incr,nginx-8.sh,0.94
incr,nginx-9.sh,1.57
incr,nginx-10.sh,0.176
incr,nginx-11.sh,0.173
incr,nginx-12.sh,4.855
incr,nginx-13.sh,0.186
incr,nginx-14.sh,0.181
incr,nginx-15.sh,0.841
incr,nginx-16.sh,0.273
incr,nginx-17.sh,4.87
incr,nginx-18.sh,6.37
incr,nginx-19.sh,0.469
incr,nginx-20.sh,5.121
incr,nginx-21.sh,0.47
incr,nginx-22.sh,0.669
