mode,script,time_sec
bash,beginner-01.sh,35.387
bash,beginner-02.sh,37.72
bash,beginner-03.sh,36.91
bash,beginner-04.sh,37.178
bash,beginner-05.sh,36.821
bash,beginner-06.sh,37.028
bash,beginner-07.sh,37.814
bash,beginner-08.sh,36.89
bash,beginner-09.sh,36.593
bash,beginner-10.sh,40.835
bash,beginner-11.sh,42.314
bash,beginner-12.sh,42.863
bash,beginner-13.sh,43.327
bash,beginner-14.sh,42.052
incr,beginner-01.sh,35.017
incr,beginner-02.sh,36.959
incr,beginner-03.sh,5.228
incr,beginner-04.sh,3.061
incr,beginner-05.sh,2.626
incr,beginner-06.sh,2.888
incr,beginner-07.sh,2.779
incr,beginner-08.sh,3.047
incr,beginner-09.sh,3.081
incr,beginner-10.sh,4.925
incr,beginner-11.sh,4.18
incr,beginner-12.sh,4.386
incr,beginner-13.sh,2.928
incr,beginner-14.sh,2.9
incr-observe,beginner-01.sh,35.075
incr-observe,beginner-02.sh,38.204
incr-observe,beginner-03.sh,5.115
incr-observe,beginner-04.sh,2.918
incr-observe,beginner-05.sh,2.804
incr-observe,beginner-06.sh,2.838
incr-observe,beginner-07.sh,2.831
incr-observe,beginner-08.sh,3.025
incr-observe,beginner-09.sh,3.099
incr-observe,beginner-10.sh,5
incr-observe,beginner-11.sh,4.456
incr-observe,beginner-12.sh,4.191
incr-observe,beginner-13.sh,2.943
incr-observe,beginner-14.sh,2.927
