mode,script,time_sec
bash,bio-1.sh,4.856
bash,bio-2.sh,16.171
bash,bio-3.sh,53.292
bash,bio-4-0.sh,53.362
bash,bio-4.sh,53.927
bash,bio-5.sh,54.476
bash,bio-6.sh,54.089
incr,bio-1.sh,8.706
incr,bio-2.sh,18.824
incr,bio-3.sh,91.362
incr,bio-4-0.sh,50.463
incr,bio-4.sh,9.665
incr,bio-5.sh,12.172
incr,bio-6.sh,10.252
incr-observe,bio-1.sh,6.477
incr-observe,bio-2.sh,13.76
incr-observe,bio-3.sh,52.429
incr-observe,bio-4-0.sh,17.942
incr-observe,bio-4.sh,6.435
incr-observe,bio-5.sh,6.82
incr-observe,bio-6.sh,6.853
