mode,script,time_sec
bash,nginx-1.sh,1.936
bash,nginx-2.sh,1.707
bash,nginx-3.sh,6.188
bash,nginx-4.sh,6.7
bash,nginx-5.sh,7.749
bash,nginx-6.sh,10.233
bash,nginx-7.sh,9.353
bash,nginx-8.sh,11.785
bash,nginx-9.sh,13.18
bash,nginx-10.sh,14.341
bash,nginx-11.sh,13.717
bash,nginx-12.sh,20.182
bash,nginx-13.sh,18.814
bash,nginx-14.sh,19.859
bash,nginx-15.sh,22.595
bash,nginx-16.sh,22.954
bash,nginx-17.sh,25.903
bash,nginx-18.sh,41.71
bash,nginx-19.sh,41.717
bash,nginx-20.sh,47.685
bash,nginx-21.sh,49.452
bash,nginx-22.sh,54.301
incr,nginx-1.sh,6.203
incr,nginx-2.sh,3.143
incr,nginx-3.sh,4.111
incr,nginx-4.sh,2.66
incr,nginx-5.sh,3.21
incr,nginx-6.sh,2.758
incr,nginx-7.sh,0.588
incr,nginx-8.sh,1.607
incr,nginx-9.sh,2.525
incr,nginx-10.sh,0.33
incr,nginx-11.sh,0.35
incr,nginx-12.sh,9.775
incr,nginx-13.sh,0.322
incr,nginx-14.sh,0.334
incr,nginx-15.sh,2.02
incr,nginx-16.sh,0.57
incr,nginx-17.sh,10.519
incr,nginx-18.sh,9.53
incr,nginx-19.sh,0.847
incr,nginx-20.sh,10.509
incr,nginx-21.sh,0.941
incr,nginx-22.sh,1.293
incr-observe,nginx-1.sh,3.532
incr-observe,nginx-2.sh,2.475
incr-observe,nginx-3.sh,3.178
incr-observe,nginx-4.sh,2.451
incr-observe,nginx-5.sh,3.198
incr-observe,nginx-6.sh,2.677
incr-observe,nginx-7.sh,0.556
incr-observe,nginx-8.sh,1.784
incr-observe,nginx-9.sh,2.601
incr-observe,nginx-10.sh,0.346
incr-observe,nginx-11.sh,0.324
incr-observe,nginx-12.sh,10.016
incr-observe,nginx-13.sh,0.258
incr-observe,nginx-14.sh,0.408
incr-observe,nginx-15.sh,1.932
incr-observe,nginx-16.sh,0.49
incr-observe,nginx-17.sh,10.478
incr-observe,nginx-18.sh,9.312
incr-observe,nginx-19.sh,0.899
incr-observe,nginx-20.sh,10.396
incr-observe,nginx-21.sh,0.866
incr-observe,nginx-22.sh,1.382
