mode,script,time_sec
bash,spell-1.sh,7.933
bash,spell-2.sh,69.721
bash,spell-3.sh,72.907
bash,spell-4.sh,73.383
bash,spell-5.sh,311.754
bash,spell-6.sh,316.702
bash,spell-7.sh,308.735
incr,spell-1.sh,9.176
incr,spell-2.sh,100.765
incr,spell-3.sh,3.728
incr,spell-4.sh,3.918
incr,spell-5.sh,130.131
incr,spell-6.sh,23.475
incr,spell-7.sh,6.932
incr-observe,spell-1.sh,8.653
incr-observe,spell-2.sh,100.127
incr-observe,spell-3.sh,3.615
incr-observe,spell-4.sh,4.178
incr-observe,spell-5.sh,130.265
incr-observe,spell-6.sh,24.162
incr-observe,spell-7.sh,6.405
