mode,script,time_sec
incr,nginx-1.sh,8.8
incr,nginx-2.sh,2.211
incr,nginx-3.sh,2.462
incr,nginx-4.sh,3.195
incr,nginx-5.sh,1.876
incr,nginx-6.sh,1.585
incr,nginx-7.sh,0.267
incr,nginx-8.sh,0.939
incr,nginx-9.sh,1.623
incr,nginx-10.sh,0.192
incr,nginx-11.sh,0.189
incr,nginx-12.sh,4.83
incr,nginx-13.sh,0.195
incr,nginx-14.sh,0.186
incr,nginx-15.sh,0.868
incr,nginx-16.sh,0.295
incr,nginx-17.sh,4.954
incr,nginx-18.sh,6.324
incr,nginx-19.sh,0.49
incr,nginx-20.sh,5.079
incr,nginx-21.sh,0.497
incr,nginx-22.sh,0.7
