mode,script,time_sec
incr,nginx-1.sh,9.299
incr,nginx-2.sh,3.405
incr,nginx-3.sh,4.382
incr,nginx-4.sh,2.806
incr,nginx-5.sh,2.369
incr,nginx-6.sh,1.985
incr,nginx-7.sh,0.373
incr,nginx-8.sh,1.28
incr,nginx-9.sh,2.07
incr,nginx-10.sh,0.273
incr,nginx-11.sh,0.2
incr,nginx-12.sh,6.474
incr,nginx-13.sh,0.346
incr,nginx-14.sh,0.392
incr,nginx-15.sh,1.247
incr,nginx-16.sh,0.645
incr,nginx-17.sh,7.981
incr,nginx-18.sh,9.217
incr,nginx-19.sh,1.041
incr,nginx-20.sh,6.96
incr,nginx-21.sh,0.981
incr,nginx-22.sh,1.238
